Order ID,Order Date,Customer Name,Region,City,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Sales,Profit,Payment Mode,Order Year,Order Month,Cluster
10001,2024-10-19,Kashvi Varty,South,Bangalore,Books,Non-Fiction,Non-Fiction Ipsum,-0.7024811792135597,-0.15186072847703744,5,-0.44388647928791614,10525.09,Debit Card,2024,10,0
10002,2025-08-30,Advik Desai,North,Delhi,Groceries,Rice,Rice Nemo,-1.4101994738071117,0.10530652581911087,20,-0.8578315491330295,6299.66,Debit Card,2025,8,0
10003,2023-11-04,Rhea Kalla,East,Patna,Kitchen,Juicer,Juicer Odio,0.7129554099735443,1.1001158448993058,20,1.1853155620855857,19850.27,Credit Card,2023,11,1
10004,2025-05-23,Anika Sen,East,Kolkata,Groceries,Oil,Oil Doloribus,1.4206737045670963,-0.10691887821169112,15,0.6096002334437183,36311.02,UPI,2025,5,1
10005,2025-01-19,Akarsh Kaul,West,Pune,Clothing,Kids Wear,Kids Wear Quo,-1.4101994738071117,0.4501235290245749,10,-0.7250308412066165,9050.04,Debit Card,2025,1,0
10006,2025-04-06,Vardaniya Jayaraman,West,Pune,Furniture,Chair,Chair Assumenda,1.4206737045670963,0.023044542584880503,15,0.7577764367809525,23722.84,Credit Card,2025,4,1
10007,2023-10-13,Drishya Khare,West,Mumbai,Clothing,Accessories,Accessories Minima,-0.7024811792135597,-1.582378219671657,5,-1.1730336116510525,680.26,Debit Card,2023,10,0
10008,2025-08-17,Misha Dua,North,Lucknow,Books,Biography,Biography Vel,-1.4101994738071117,-1.0458356037844962,10,-1.0862166162406897,1289.03,Debit Card,2025,8,0
10009,2025-03-07,Arhaan Vala,North,Jaipur,Groceries,Spices,Spices Expedita,-1.4101994738071117,0.04700476879847156,20,-0.8703439321155223,3700.89,Credit Card,2025,3,0
10010,2024-12-02,Lavanya Hayer,West,Goa,Kitchen,Juicer,Juicer Voluptatibus,-0.7024811792135597,-1.010749422436989,15,-0.9208846526336487,5703.09,UPI,2024,12,0
10011,2025-08-24,Divyansh Thaman,North,Lucknow,Kitchen,Cookware Set,Cookware Set Doloremque,-0.7024811792135597,-1.2702820372734187,20,-1.0518909945932824,4139.82,Credit Card,2025,8,0
10012,2024-05-21,Nishith Kumar,South,Hyderabad,Beauty,Perfume,Perfume Itaque,0.005237115379992337,-0.5560745630273451,10,-0.39547737623130763,16216.55,Net Banking,2024,5,2
10013,2024-12-05,Anika Khanna,North,Chandigarh,Home Decor,Vase,Vase Ratione,-1.4101994738071117,0.6215683652220071,5,-0.6519383365028677,6826.05,Credit Card,2024,12,0
10014,2023-12-03,Amani Acharya,East,Patna,Clothing,Women's Wear,Women's Wear Optio,1.4206737045670963,-0.6972515449037693,0,0.14667261549170924,21029.48,UPI,2023,12,2
10015,2025-07-25,Anay Grewal,North,Jaipur,Kitchen,Juicer,Juicer Debitis,-0.7024811792135597,-1.065152714863461,5,-0.9093993003354817,5535.44,COD,2025,7,0
10016,2023-10-13,Stuvan Majumdar,East,Bhubaneswar,Electronics,Laptop,Laptop Numquam,1.4206737045670963,0.5205587095573984,10,1.4767302308475416,35657.72,Debit Card,2023,10,1
